,id,name,categories,latitude,longitude,
52,4d84caa79324236a92aec00e,Atlassib Olanda B.V.,Other,52.3672444011599,4.78654065195906,
53,4d921be1f5388cfae7edc43d,Devo58,Soccer Field,52.3678652566212,4.79578653768164,
54,4d8dbb8fc1b1721e44041f46,Devonello,Stadium,52.3677604849884,4.79606156936723,
55,4d35e044eefa8cfa230959b3,Tennispark Osdorp,Baseball Field,52.3694878213149,4.79580044746399,
56,4d45622f1911a0938abde1d8,T.v. Osdorp,Other Great Outdoors,52.369403,4.79591645300388,
57,4d9f0fac36818cfa2fc10101,Discus Dierenwinkel,Pet Supplies Store,52.364263011219,4.78642244091098,
58,4ecf37ae8b81b473951abc3d,Ookmeerweg,Bridge,52.3643764990704,4.79647161918439,
59,4c3ac38d5810a593319fb93c,Ookmeer (Sportpark),Other Great Outdoors,52.3679915005845,4.79783159500423,
60,4c8b2d321eafb1f740998135,Zsgowms,Other Great Outdoors,52.3701002200709,4.795931888888,
61,4d737918311f6ea8dd04eaea,Dcg,Sports and Recreation,52.3658546395975,4.79805515856855,
62,4d812635dbc5f04d6f4505b7,Underdeblanket,Other,52.380096,4.792803,
63,4db811d5815445bd47cb177d,Nederlandse Rugby Bond,Sports Club,52.3785142345607,4.78622097599243,
64,4e859e5dd22de422cb8dcf4b,Sportpark Eendracht De,Soccer Field,52.3791930116081,4.78543170429211,
65,4c25d4b1f7ced13ac43e256d,AAC Rugby,Sports Club,52.3779059596239,4.78623238934527,
66,515f6112e4b0ff5e407a3f6c,Amsterdam Panthers,Sports and Recreation,52.3793262140568,4.78709895234135,
67,4fa6743de4b063f122de6c51,Park de kuil,Park,52.3774214134298,4.79348443973727,
68,4e3d6379c65b4ec275e1352e,Smulhoek Snackbar Lunchroom De,Snack Place,52.3824122498488,4.7909625749188,
69,4df90c8618385456c7f6d888,BeeVee Strand,Beach,52.3824110747757,4.79094832743996,
70,557573ab498e4ce26d7d57e9,Room Escape Amsterdam,Escape Room,52.3820862442927,4.78609621524811,
71,537ef02d498efd6e06f8b61c,Tom Schreursweg Boomgaard,Vineyard,52.3824892729605,4.7910989794111,
